collection,encoder,metadata_family,image_family,metadata_config,image_config,image_weight,validation_n,pre2025_validation_transaction_rmse,pre2025_validation_transaction_mse
MAYC,DINOv2,XGBoost,XGBoost,"{""l2_regularization"": 1, ""learning_rate"": 0.1, ""max_leaf_nodes"": 31}","{""l2_regularization"": 1, ""learning_rate"": 0.1, ""max_leaf_nodes"": 15}",0.0,16221,0.40196981287698486,0.16157973046435822
MAYC,DINOv2,XGBoost,LightGBM,"{""l2_regularization"": 1, ""learning_rate"": 0.1, ""max_leaf_nodes"": 31}","{""l2_regularization"": 10, ""learning_rate"": 0.05, ""max_leaf_nodes"": 31}",0.0,16221,0.40196981287698486,0.16157973046435822
MAYC,CLIP,XGBoost,OLS,"{""l2_regularization"": 1, ""learning_rate"": 0.1, ""max_leaf_nodes"": 31}",{},0.1,16221,0.40195794088775966,0.1615701862427277
MAYC,CLIP,XGBoost,Ridge,"{""l2_regularization"": 1, ""learning_rate"": 0.1, ""max_leaf_nodes"": 31}","{""alpha"": 0.01}",0.1,16221,0.4019582603238707,0.1615704430425926
MAYC,CLIP,XGBoost,ElasticNet,"{""l2_regularization"": 1, ""learning_rate"": 0.1, ""max_leaf_nodes"": 31}","{""alpha"": 0.001, ""l1_ratio"": 0.1}",0.1,16221,0.4019680256155196,0.161578293617239
MAYC,CLIP,XGBoost,PLS,"{""l2_regularization"": 1, ""learning_rate"": 0.1, ""max_leaf_nodes"": 31}","{""components"": 64}",0.1,16221,0.4019641567514962,0.16157518331294143
MAYC,CLIP,XGBoost,LinearSVR,"{""l2_regularization"": 1, ""learning_rate"": 0.1, ""max_leaf_nodes"": 31}","{""C"": 0.1, ""epsilon"": 0.1}",0.0,16221,0.40196981287698486,0.16157973046435822
MAYC,CLIP,XGBoost,HistGradientBoosting,"{""l2_regularization"": 1, ""learning_rate"": 0.1, ""max_leaf_nodes"": 31}","{""l2_regularization"": 1, ""learning_rate"": 0.1, ""max_leaf_nodes"": 15}",0.1,16221,0.40195130615923835,0.16156485252311775
MAYC,CLIP,XGBoost,XGBoost,"{""l2_regularization"": 1, ""learning_rate"": 0.1, ""max_leaf_nodes"": 31}","{""l2_regularization"": 1, ""learning_rate"": 0.05, ""max_leaf_nodes"": 31}",0.0,16221,0.40196981287698486,0.16157973046435822
MAYC,CLIP,XGBoost,LightGBM,"{""l2_regularization"": 1, ""learning_rate"": 0.1, ""max_leaf_nodes"": 31}","{""l2_regularization"": 10, ""learning_rate"": 0.1, ""max_leaf_nodes"": 15}",0.0,16221,0.40196981287698486,0.16157973046435822
MAYC,SigLIP2,XGBoost,OLS,"{""l2_regularization"": 1, ""learning_rate"": 0.1, ""max_leaf_nodes"": 31}",{},0.1,16221,0.4019284579011939,0.16154648527083182
MAYC,SigLIP2,XGBoost,Ridge,"{""l2_regularization"": 1, ""learning_rate"": 0.1, ""max_leaf_nodes"": 31}","{""alpha"": 0.01}",0.1,16221,0.4019285531427872,0.1615465618314543
MAYC,SigLIP2,XGBoost,ElasticNet,"{""l2_regularization"": 1, ""learning_rate"": 0.1, ""max_leaf_nodes"": 31}","{""alpha"": 0.001, ""l1_ratio"": 0.5}",0.0,16221,0.40196981287698486,0.16157973046435822
MAYC,SigLIP2,XGBoost,PLS,"{""l2_regularization"": 1, ""learning_rate"": 0.1, ""max_leaf_nodes"": 31}","{""components"": 64}",0.1,16221,0.4019441800895738,0.16155912390787971
MAYC,SigLIP2,XGBoost,LinearSVR,"{""l2_regularization"": 1, ""learning_rate"": 0.1, ""max_leaf_nodes"": 31}","{""C"": 1, ""epsilon"": 0.1}",0.1,16221,0.4019461163888633,0.16156068048008965
MAYC,SigLIP2,XGBoost,HistGradientBoosting,"{""l2_regularization"": 1, ""learning_rate"": 0.1, ""max_leaf_nodes"": 31}","{""l2_regularization"": 1, ""learning_rate"": 0.1, ""max_leaf_nodes"": 15}",0.1,16221,0.40196233357246786,0.1615737176110239
MAYC,SigLIP2,XGBoost,XGBoost,"{""l2_regularization"": 1, ""learning_rate"": 0.1, ""max_leaf_nodes"": 31}","{""l2_regularization"": 10, ""learning_rate"": 0.1, ""max_leaf_nodes"": 15}",0.1,16221,0.40196173744591385,0.16157323837053778
MAYC,SigLIP2,XGBoost,LightGBM,"{""l2_regularization"": 1, ""learning_rate"": 0.1, ""max_leaf_nodes"": 31}","{""l2_regularization"": 10, ""learning_rate"": 0.1, ""max_leaf_nodes"": 15}",0.1,16221,0.4019679463353083,0.1615782298810253
MAYC,SAM,XGBoost,OLS,"{""l2_regularization"": 1, ""learning_rate"": 0.1, ""max_leaf_nodes"": 31}",{},0.1,16221,0.40196525379585374,0.1615760652591651
MAYC,SAM,XGBoost,Ridge,"{""l2_regularization"": 1, ""learning_rate"": 0.1, ""max_leaf_nodes"": 31}","{""alpha"": 0.01}",0.1,16221,0.40196541597542707,0.1615761956402981
MAYC,SAM,XGBoost,ElasticNet,"{""l2_regularization"": 1, ""learning_rate"": 0.1, ""max_leaf_nodes"": 31}","{""alpha"": 0.01, ""l1_ratio"": 0.5}",0.0,16221,0.40196981287698486,0.16157973046435822
MAYC,SAM,XGBoost,PLS,"{""l2_regularization"": 1, ""learning_rate"": 0.1, ""max_leaf_nodes"": 31}","{""components"": 64}",0.0,16221,0.40196981287698486,0.16157973046435822
MAYC,SAM,XGBoost,LinearSVR,"{""l2_regularization"": 1, ""learning_rate"": 0.1, ""max_leaf_nodes"": 31}","{""C"": 1, ""epsilon"": 0.1}",0.0,16221,0.40196981287698486,0.16157973046435822
MAYC,SAM,XGBoost,HistGradientBoosting,"{""l2_regularization"": 1, ""learning_rate"": 0.1, ""max_leaf_nodes"": 31}","{""l2_regularization"": 1, ""learning_rate"": 0.1, ""max_leaf_nodes"": 31}",0.0,16221,0.40196981287698486,0.16157973046435822
MAYC,SAM,XGBoost,XGBoost,"{""l2_regularization"": 1, ""learning_rate"": 0.1, ""max_leaf_nodes"": 31}","{""l2_regularization"": 10, ""learning_rate"": 0.1, ""max_leaf_nodes"": 31}",0.0,16221,0.40196981287698486,0.16157973046435822
MAYC,SAM,XGBoost,LightGBM,"{""l2_regularization"": 1, ""learning_rate"": 0.1, ""max_leaf_nodes"": 31}","{""l2_regularization"": 10, ""learning_rate"": 0.1, ""max_leaf_nodes"": 31}",0.0,16221,0.40196981287698486,0.16157973046435822
MAYC,SDXL_VAE,XGBoost,OLS,"{""l2_regularization"": 1, ""learning_rate"": 0.1, ""max_leaf_nodes"": 31}",{},0.4,16221,0.40176108729889937,0.16141197126759382
MAYC,SDXL_VAE,XGBoost,Ridge,"{""l2_regularization"": 1, ""learning_rate"": 0.1, ""max_leaf_nodes"": 31}","{""alpha"": 0.01}",0.4,16221,0.40176108786809367,0.16141197172495408
MAYC,SDXL_VAE,XGBoost,ElasticNet,"{""l2_regularization"": 1, ""learning_rate"": 0.1, ""max_leaf_nodes"": 31}","{""alpha"": 0.001, ""l1_ratio"": 0.1}",0.4,16221,0.4017791380865635,0.16142647580158187
MAYC,SDXL_VAE,XGBoost,PLS,"{""l2_regularization"": 1, ""learning_rate"": 0.1, ""max_leaf_nodes"": 31}","{""components"": 16}",0.4,16221,0.401761060320268,0.161411949589666
MAYC,SDXL_VAE,XGBoost,LinearSVR,"{""l2_regularization"": 1, ""learning_rate"": 0.1, ""max_leaf_nodes"": 31}","{""C"": 1, ""epsilon"": 0.1}",0.3,16221,0.40182580837781084,0.16146398027848116
MAYC,SDXL_VAE,XGBoost,HistGradientBoosting,"{""l2_regularization"": 1, ""learning_rate"": 0.1, ""max_leaf_nodes"": 31}","{""l2_regularization"": 10, ""learning_rate"": 0.05, ""max_leaf_nodes"": 31}",0.1,16221,0.401958985615621,0.161571026117139
