collection,encoder,image_family,image_weight,validation_n,pre2025_validation_transaction_mse,pre2025_validation_transaction_rmse
BAYC,CLIP,HistGradientBoosting,0.6,6187,1.9166259997413866,1.384422623240962
BAYC,CLIP,HistGradientBoosting,0.7,6187,1.9175570679224891,1.3847588482918205
BAYC,CLIP,HistGradientBoosting,0.8,6187,1.9186484844425025,1.3851528740332246
BAYC,CLIP,HistGradientBoosting,0.9,6187,1.9199002493014254,1.3856046511546594
BAYC,CLIP,HistGradientBoosting,1.0,6187,1.921312362499259,1.386114123187286
BAYC,CLIP,XGBoost,0.0,6187,1.9144069057718818,1.38362094005977
BAYC,CLIP,XGBoost,0.1,6187,1.9143773365102534,1.3836102545551812
BAYC,CLIP,XGBoost,0.2,6187,1.9145076109752883,1.3836573314861191
BAYC,CLIP,XGBoost,0.3,6187,1.9147977291669853,1.3837621649571812
BAYC,CLIP,XGBoost,0.4,6187,1.9152476910853442,1.383924741843047
BAYC,CLIP,XGBoost,0.5,6187,1.915857496730365,1.3841450417966916
BAYC,CLIP,XGBoost,0.6,6187,1.916627146102049,1.3844230372621111
BAYC,CLIP,XGBoost,0.7,6187,1.9175566392003958,1.3847586934915397
BAYC,CLIP,XGBoost,0.8,6187,1.9186459760254029,1.3851519685671327
BAYC,CLIP,XGBoost,0.9,6187,1.9198951565770739,1.3856028134270924
BAYC,CLIP,XGBoost,1.0,6187,1.9213041808554063,1.3861111718961818
BAYC,CLIP,LightGBM,0.0,6187,1.9144069057718818,1.38362094005977
BAYC,CLIP,LightGBM,0.1,6187,1.9143785281897425,1.383610685196433
BAYC,CLIP,LightGBM,0.2,6187,1.914511592194179,1.383658770143195
BAYC,CLIP,LightGBM,0.3,6187,1.91480609778519,1.3837651888182438
BAYC,CLIP,LightGBM,0.4,6187,1.915262044962777,1.3839299277646888
BAYC,CLIP,LightGBM,0.5,6187,1.9158794337269383,1.3841529661590652
BAYC,CLIP,LightGBM,0.6,6187,1.9166582640776755,1.3844342758244883
BAYC,CLIP,LightGBM,0.7,6187,1.9175985360149872,1.384773821248433
BAYC,CLIP,LightGBM,0.8,6187,1.9187002495388752,1.3851715596051182
BAYC,CLIP,LightGBM,0.9,6187,1.919963404649337,1.3856274407824554
BAYC,CLIP,LightGBM,1.0,6187,1.9213880013463742,1.3861414074135345
BAYC,SigLIP2,OLS,0.0,6187,1.9144069057718818,1.38362094005977
BAYC,SigLIP2,OLS,0.1,6187,1.9142296600800641,1.3835568871860904
BAYC,SigLIP2,OLS,0.2,6187,1.914305447798201,1.3835842756399774
BAYC,SigLIP2,OLS,0.3,6187,1.9146342689262925,1.3837030999915743
BAYC,SigLIP2,OLS,0.4,6187,1.9152161234643374,1.3839133366885144
BAYC,SigLIP2,OLS,0.5,6187,1.9160510114123366,1.3842149440792555
BAYC,SigLIP2,OLS,0.6,6187,1.9171389327702897,1.3846078624543086
BAYC,SigLIP2,OLS,0.7,6187,1.918479887538197,1.3850920141052712
BAYC,SigLIP2,OLS,0.8,6187,1.920073875716059,1.3856673034015268
BAYC,SigLIP2,OLS,0.9,6187,1.921920897303874,1.3863336168844331
BAYC,SigLIP2,OLS,1.0,6187,1.9240209523016438,1.387090823378788
BAYC,SigLIP2,Ridge,0.0,6187,1.9144069057718818,1.38362094005977
BAYC,SigLIP2,Ridge,0.1,6187,1.9142807121891943,1.3835753366510963
BAYC,SigLIP2,Ridge,0.2,6187,1.9142457620692286,1.3835627062295472
BAYC,SigLIP2,Ridge,0.3,6187,1.9143020554119854,1.3835830496981327
BAYC,SigLIP2,Ridge,0.4,6187,1.9144495922174645,1.3836363656024167
BAYC,SigLIP2,Ridge,0.5,6187,1.9146883724856647,1.3837226501310387
BAYC,SigLIP2,Ridge,0.6,6187,1.9150183962165876,1.3838418971170758
BAYC,SigLIP2,Ridge,0.7,6187,1.9154396634102322,1.3839940980402454
BAYC,SigLIP2,Ridge,0.8,6187,1.9159521740665995,1.3841792420299472
BAYC,SigLIP2,Ridge,0.9,6187,1.9165559281856885,1.3843973158691434
BAYC,SigLIP2,Ridge,1.0,6187,1.917250925767499,1.3846483039990694
BAYC,SigLIP2,ElasticNet,0.0,6187,1.9144069057718818,1.38362094005977
BAYC,SigLIP2,ElasticNet,0.1,6187,1.9143279060529454,1.3835923915853778
BAYC,SigLIP2,ElasticNet,0.2,6187,1.9143244349759456,1.383591137213572
BAYC,SigLIP2,ElasticNet,0.3,6187,1.9143964925408812,1.383617177018586
BAYC,SigLIP2,ElasticNet,0.4,6187,1.914544078747752,1.3836705094594421
BAYC,SigLIP2,ElasticNet,0.5,6187,1.9147671935965587,1.3837511313804078
BAYC,SigLIP2,ElasticNet,0.6,6187,1.9150658370873015,1.3838590380119289
BAYC,SigLIP2,ElasticNet,0.7,6187,1.9154400092199793,1.3839942229720394
BAYC,SigLIP2,ElasticNet,0.8,6187,1.915889709994593,1.384156678268249
BAYC,SigLIP2,ElasticNet,0.9,6187,1.916414939411143,1.3843463942999032
BAYC,SigLIP2,ElasticNet,1.0,6187,1.9170156974696282,1.384563359861017
BAYC,SigLIP2,PLS,0.0,6187,1.9144069057718818,1.38362094005977
BAYC,SigLIP2,PLS,0.1,6187,1.9143177019343995,1.3835887040354151
BAYC,SigLIP2,PLS,0.2,6187,1.9143114607525027,1.3835864486010632
BAYC,SigLIP2,PLS,0.3,6187,1.9143881822261897,1.3836141739033283
BAYC,SigLIP2,PLS,0.4,6187,1.914547866355462,1.3836718781399953
BAYC,SigLIP2,PLS,0.5,6187,1.9147905131403191,1.3837595575606043
