collection,encoder,metadata_family,image_family,metadata_config,image_config,image_weight,validation_n,pre2025_validation_transaction_rmse,pre2025_validation_transaction_mse,overall_selected_pre2025,evaluation_transaction_rmse,evaluation_transaction_mae,evaluation_transaction_r2,evaluation_transaction_target_sd,evaluation_equal_token_n_transactions,evaluation_equal_token_n_tokens,evaluation_equal_token_rmse,evaluation_equal_token_mae,evaluation_equal_token_r2,evaluation_equal_token_target_sd
BAYC,SAM,Ridge,LightGBM,"{""alpha"": 1000}","{""l2_regularization"": 10, ""learning_rate"": 0.1, ""max_leaf_nodes"": 31}",0.0,6187,1.38362094005977,1.9144069057718818,False,0.252755229444784,0.10693521788717711,0.14746661162736452,0.2737439007579036,5120,1498,0.26642151058975055,0.12146621374699798,0.3045340639035691,0.3194709364844748
BAYC,SDXL_VAE,Ridge,OLS,"{""alpha"": 1000}",{},0.1,6187,1.3836098090753195,1.9143761037694418,False,0.2526851169471158,0.1069424578808883,0.14793951938875616,0.2737439007579036,5120,1498,0.26601864765184086,0.1213343938928962,0.30663573818493695,0.3194709364844748
BAYC,SDXL_VAE,Ridge,Ridge,"{""alpha"": 1000}","{""alpha"": 1000}",0.1,6187,1.3835977822179721,1.914342822958491,False,0.2528897822422395,0.10696857014202847,0.14655868750340062,0.2737439007579036,5120,1498,0.2666813531311087,0.12146346326924093,0.30317681793308104,0.3194709364844748
BAYC,SDXL_VAE,Ridge,ElasticNet,"{""alpha"": 1000}","{""alpha"": 0.01, ""l1_ratio"": 0.1}",0.2,6187,1.3835860771617619,1.9143104329158727,False,0.2531216493598305,0.10706457748003757,0.14499298015982642,0.2737439007579036,5120,1498,0.26718607787833737,0.12164548613645354,0.30053668790457144,0.3194709364844748
BAYC,SDXL_VAE,Ridge,PLS,"{""alpha"": 1000}","{""components"": 8}",0.1,6187,1.3836023429644397,1.9143554434566874,False,0.2528127792774838,0.1069747428573172,0.14707834081236426,0.2737439007579036,5120,1498,0.26639884400779174,0.12143376022805945,0.30465239642880837,0.3194709364844748
BAYC,SDXL_VAE,Ridge,LinearSVR,"{""alpha"": 1000}","{""C"": 0.01, ""epsilon"": 0.2}",0.1,6187,1.3836014615207144,1.914353004322257,False,0.2527270164332591,0.10692226363414332,0.14765692374846195,0.2737439007579036,5120,1498,0.2661565684512743,0.12135912703833883,0.3059165845145583,0.3194709364844748
BAYC,SDXL_VAE,Ridge,HistGradientBoosting,"{""alpha"": 1000}","{""l2_regularization"": 1, ""learning_rate"": 0.05, ""max_leaf_nodes"": 15}",0.2,6187,1.3835309460927128,1.9141578787961968,False,0.25282125368632813,0.10676127208249206,0.14702115914602598,0.2737439007579036,5120,1498,0.26655914211115045,0.1213272592313912,0.3038153324595927,0.3194709364844748
BAYC,SDXL_VAE,Ridge,XGBoost,"{""alpha"": 1000}","{""l2_regularization"": 1, ""learning_rate"": 0.05, ""max_leaf_nodes"": 31}",0.2,6187,1.3835356641209942,1.9141709338947204,False,0.25291632165548883,0.10682165807259958,0.1463795500154076,0.2737439007579036,5120,1498,0.2665008821756142,0.1213117939898308,0.3041196194640554,0.3194709364844748
BAYC,SDXL_VAE,Ridge,LightGBM,"{""alpha"": 1000}","{""l2_regularization"": 1, ""learning_rate"": 0.05, ""max_leaf_nodes"": 31}",0.2,6187,1.3835541901156516,1.914222196986577,False,0.25300761292370677,0.10682800071404756,0.1457632026227903,0.2737439007579036,5120,1498,0.26645189562609656,0.12129478645884739,0.30437542083661806,0.3194709364844748
BAYC,DreamSim,Ridge,OLS,"{""alpha"": 1000}",{},0.0,6187,1.38362094005977,1.9144069057718818,False,0.252755229444784,0.10693521788717711,0.14746661162736452,0.2737439007579036,5120,1498,0.26642151058975055,0.12146621374699798,0.3045340639035691,0.3194709364844748
