collection,encoder,family,training_equal_token_n_transactions,training_equal_token_n_tokens,training_equal_token_rmse,training_equal_token_mae,training_equal_token_r2,training_equal_token_target_sd,training_transaction_rmse,training_transaction_mae,training_transaction_r2,training_transaction_target_sd
BAYC,CLIP,LightGBM,35206,5746,0.8614991901281898,0.16213100208497616,0.036035897801934724,0.877454171372585,0.7678224790671335,0.10968081259791446,0.01733844924399286,0.7745667336219184
BAYC,SigLIP2,OLS,35206,5746,0.8662862791744333,0.1637457932209188,0.025293222795084613,0.877454171372585,0.7694938157639704,0.11289447591761366,0.013055829668340735,0.7745667336219184
BAYC,SigLIP2,Ridge,35206,5746,0.8559550859499506,0.16381575139213325,0.048402992326157857,0.877454171372585,0.768394473479766,0.1149522753640222,0.015873823517810304,0.7745667336219184
BAYC,SigLIP2,ElasticNet,35206,5746,0.8565032129399271,0.16730638405144796,0.04718385590422969,0.877454171372585,0.7687749562279442,0.11694545876750687,0.014898970754493868,0.7745667336219184
BAYC,SigLIP2,PLS,35206,5746,0.8584101281092469,0.16792458756402653,0.04293644119618467,0.877454171372585,0.7694367212901284,0.11730923103985323,0.013202281703390661,0.7745667336219184
BAYC,SigLIP2,LinearSVR,35206,5746,0.8586684198432087,0.16361256534067298,0.042360402333307956,0.877454171372585,0.7684213184928915,0.11457590509752409,0.015805058469314126,0.7745667336219184
BAYC,SigLIP2,HistGradientBoosting,35206,5746,0.8567699568352094,0.1569522456594469,0.04659028552975997,0.877454171372585,0.7668067938869618,0.10862189840626078,0.019936483733790533,0.7745667336219184
BAYC,SigLIP2,XGBoost,35206,5746,0.8517215171229194,0.15379745640211626,0.05779294421343528,0.877454171372585,0.7657425881915082,0.10811703942342754,0.022654940150190983,0.7745667336219184
BAYC,SigLIP2,LightGBM,35206,5746,0.8585105906618841,0.15967420671811478,0.04271241151311367,0.877454171372585,0.767169342472398,0.10917941566281597,0.019009510622353787,0.7745667336219184
BAYC,SAM,OLS,35206,5746,0.8580312016156127,0.16558509205480892,0.04378120451661216,0.877454171372585,0.7689683517105614,0.116046662505249,0.014403278092811056,0.7745667336219184
BAYC,SAM,Ridge,35206,5746,0.8566913340362116,0.16538534752704165,0.04676525968787104,0.877454171372585,0.7688373339982636,0.11655948364029586,0.014739103687591126,0.7745667336219184
BAYC,SAM,ElasticNet,35206,5746,0.8564464337401937,0.1660077360246025,0.04731017964508166,0.877454171372585,0.768789529929078,0.11683584236716087,0.014861621192181707,0.7745667336219184
BAYC,SAM,PLS,35206,5746,0.8571105076258962,0.165669318616908,0.045832208154010345,0.877454171372585,0.7689448528489505,0.11663045543318282,0.014463514764559648,0.7745667336219184
BAYC,SAM,LinearSVR,35206,5746,0.8563396037981862,0.16595756802361425,0.04754783479006963,0.877454171372585,0.7686373759683728,0.1169760381608592,0.015251527317162505,0.7745667336219184
BAYC,SAM,HistGradientBoosting,35206,5746,0.8566068566661728,0.15460669166938423,0.046953245232641105,0.877454171372585,0.7665173712849751,0.10736831549457221,0.020676172021691364,0.7745667336219184
