collection,encoder,family,encoder_learner_selected_pre2025,overall_selected_pre2025,selected_config,pre2025_validation_transaction_rmse,evaluation_equal_token_n_transactions,evaluation_equal_token_n_tokens,evaluation_equal_token_rmse,evaluation_equal_token_mae,evaluation_equal_token_r2,evaluation_equal_token_target_sd,evaluation_transaction_rmse,evaluation_transaction_mae,evaluation_transaction_r2,evaluation_transaction_target_sd
BAYC,CLIP,LightGBM,False,False,"{""l2_regularization"": 1, ""learning_rate"": 0.05, ""max_leaf_nodes"": 15}",1.3860754493492944,5120,1498,0.29976035965388714,0.12998596135331256,0.11958852849710344,0.3194709364844748,0.2655204123030585,0.11095620472830584,0.05917916933427825,0.2737439007579036
BAYC,SigLIP2,OLS,False,False,{},1.389758119116489,5120,1498,0.26972230110463835,0.12498219983970248,0.28719456467998283,0.3194709364844748,0.2551598105357424,0.11087066293367046,0.13116833827039986,0.2737439007579036
BAYC,SigLIP2,Ridge,False,False,"{""alpha"": 1000}",1.3837488219153509,5120,1498,0.26486813836046813,0.12121839630194894,0.31262025837324914,0.3194709364844748,0.2521560930458004,0.10724139937133059,0.1515035480661705,0.2737439007579036
BAYC,SigLIP2,ElasticNet,True,False,"{""alpha"": 0.01, ""l1_ratio"": 0.5}",1.383636227506758,5120,1498,0.2683077511359053,0.12225672828491066,0.29465152991027665,0.3194709364844748,0.25322991897286995,0.10706927566317179,0.14426138665511812,0.2737439007579036
BAYC,SigLIP2,PLS,False,False,"{""components"": 8}",1.383750027427579,5120,1498,0.2673339048237702,0.12191840457677035,0.2997624849236885,0.3194709364844748,0.25298351369073757,0.10744783533429195,0.14592592872350107,0.2737439007579036
BAYC,SigLIP2,LinearSVR,False,False,"{""C"": 0.01, ""epsilon"": 0.2}",1.384358273515564,5120,1498,0.2657418955448632,0.12182201952634726,0.3080776687097607,0.3194709364844748,0.2527713422941001,0.10775996053362995,0.14735791215630267,0.2737439007579036
BAYC,SigLIP2,HistGradientBoosting,False,False,"{""l2_regularization"": 1, ""learning_rate"": 0.05, ""max_leaf_nodes"": 15}",1.3856501217401893,5120,1498,0.28363774120360064,0.12454755139251325,0.2117475548143697,0.3194709364844748,0.25882236883753856,0.10863995028484688,0.10604694599450815,0.2737439007579036
BAYC,SigLIP2,XGBoost,False,False,"{""l2_regularization"": 1, ""learning_rate"": 0.05, ""max_leaf_nodes"": 15}",1.3854887216412966,5120,1498,0.26819963251043843,0.12244272913666861,0.29521987682847584,0.3194709364844748,0.25385969596259117,0.10822494288386401,0.1399996893288452,0.2737439007579036
BAYC,SigLIP2,LightGBM,False,False,"{""l2_regularization"": 1, ""learning_rate"": 0.05, ""max_leaf_nodes"": 15}",1.3859186419752252,5120,1498,0.2919015227168474,0.12745186720427149,0.16514700146370376,0.3194709364844748,0.26207183311787197,0.1100340093886483,0.0834592264028694,0.2737439007579036
BAYC,SAM,OLS,False,False,{},1.3845757813616095,5120,1498,0.2673047970697024,0.12182715208444961,0.2999149626407216,0.3194709364844748,0.2533702766438719,0.10742952354075781,0.14331250379194638,0.2737439007579036
BAYC,SAM,Ridge,False,False,"{""alpha"": 100}",1.383597396257674,5120,1498,0.2639034652380852,0.12080436221897581,0.31761813571152087,0.3194709364844748,0.25214286916744594,0.10694308222914958,0.1515925415107603,0.2737439007579036
BAYC,SAM,ElasticNet,False,False,"{""alpha"": 0.01, ""l1_ratio"": 0.1}",1.383662071733601,5120,1498,0.2659664195058531,0.1212939289166125,0.30690797154375216,0.3194709364844748,0.25261892836747674,0.10684471143589144,0.14838583999014743,0.2737439007579036
BAYC,SAM,PLS,False,False,"{""components"": 32}",1.3835849252692864,5120,1498,0.2629410644949194,0.12048121439101264,0.32258606854030414,0.3194709364844748,0.25200623708501657,0.10702787557623124,0.15251176854025528,0.2737439007579036
BAYC,SAM,LinearSVR,True,True,"{""C"": 0.01, ""epsilon"": 0.2}",1.3835343128780728,5120,1498,0.2651710113586901,0.12113415665046447,0.3110473414114948,0.3194709364844748,0.25252791492869336,0.10685743945183943,0.1489993678155198,0.2737439007579036
BAYC,SAM,HistGradientBoosting,False,False,"{""l2_regularization"": 1, ""learning_rate"": 0.1, ""max_leaf_nodes"": 15}",1.3864972085773857,5120,1498,0.28538755035704927,0.12544680846447298,0.2019918299335648,0.3194709364844748,0.25966645806536154,0.10966171758739426,0.10020659622761974,0.2737439007579036
BAYC,SAM,XGBoost,False,False,"{""l2_regularization"": 1, ""learning_rate"": 0.05, ""max_leaf_nodes"": 15}",1.3859127467046388,5120,1498,0.27544686280534875,0.12423417825892422,0.2566164423248717,0.3194709364844748,0.2554086053919535,0.10786145537536881,0.1294731948835267,0.2737439007579036
BAYC,SAM,LightGBM,False,False,"{""l2_regularization"": 1, ""learning_rate"": 0.1, ""max_leaf_nodes"": 31}",1.386826425556547,5120,1498,0.28499034927743,0.13086401372491901,0.20421161231586804,0.3194709364844748,0.26166823616453766,0.11448942973398117,0.08628004252725952,0.2737439007579036
BAYC,SDXL_VAE,OLS,False,False,{},1.3857057100851466,5120,1498,0.29676718581955425,0.1289453497335824,0.13708295592124664,0.3194709364844748,0.26439214206756945,0.11251022923953005,0.06715780137997762,0.2737439007579036
BAYC,SDXL_VAE,Ridge,False,False,"{""alpha"": 10000}",1.384351272158552,5120,1498,0.28059817694295686,0.12606482072578978,0.22855142619718238,0.3194709364844748,0.25816660816861553,0.10933104992632554,0.11057110380469992,0.2737439007579036
BAYC,SDXL_VAE,ElasticNet,True,False,"{""alpha"": 0.01, ""l1_ratio"": 0.5}",1.3837712391627484,5120,1498,0.27112696001264314,0.12256545916314546,0.27975094100028863,0.3194709364844748,0.2546899241333477,0.10755138068407115,0.13436536429948398,0.2737439007579036
BAYC,SDXL_VAE,PLS,False,False,"{""components"": 8}",1.3846613971815058,5120,1498,0.27590725794664095,0.1276994571699343,0.2541293114039379,0.3194709364844748,0.2580799748554188,0.11189704985291686,0.11116793733085717,0.2737439007579036
BAYC,SDXL_VAE,LinearSVR,False,False,"{""C"": 0.01, ""epsilon"": 0.2}",1.3851482619476376,5120,1498,0.2849712644218778,0.12738056540977777,0.20431819134873141,0.3194709364844748,0.2601724685612629,0.11104845943291497,0.09669633514237497,0.2737439007579036
BAYC,SDXL_VAE,HistGradientBoosting,False,False,"{""l2_regularization"": 10, ""learning_rate"": 0.1, ""max_leaf_nodes"": 15}",1.3847698713222123,5120,1498,0.2667611358328593,0.12392172198882248,0.302759820257681,0.3194709364844748,0.25495242273628227,0.1103946353128971,0.13258009556071848,0.2737439007579036
BAYC,SDXL_VAE,XGBoost,False,False,"{""l2_regularization"": 10, ""learning_rate"": 0.1, ""max_leaf_nodes"": 15}",1.3848442300548323,5120,1498,0.2688525596632313,0.12470687099776812,0.2917841508901461,0.3194709364844748,0.255558250789005,0.11051105121373114,0.12845280254185154,0.2737439007579036
BAYC,SDXL_VAE,LightGBM,False,False,"{""l2_regularization"": 1, ""learning_rate"": 0.05, ""max_leaf_nodes"": 15}",1.384967928385187,5120,1498,0.2775995222393862,0.12578384827259292,0.2449517261759805,0.3194709364844748,0.2572142251712995,0.10894808422785338,0.11712125000788498,0.2737439007579036
BAYC,DreamSim,OLS,False,False,{},1.3866275420577805,5120,1498,0.2699398963624629,0.12435495739046114,0.28604400615645653,0.3194709364844748,0.2558143967571928,0.11015492778581518,0.12670482392346794,0.2737439007579036
BAYC,DreamSim,Ridge,False,False,"{""alpha"": 10000}",1.3850403706036292,5120,1498,0.28525083497869796,0.12728439031491723,0.20275622106763136,0.3194709364844748,0.259643332728161,0.10936480193681616,0.10036685642810161,0.2737439007579036
BAYC,DreamSim,ElasticNet,True,False,"{""alpha"": 0.01, ""l1_ratio"": 0.9}",1.3840082063818522,5120,1498,0.27759753857677993,0.12511406837748024,0.24496251694149263,0.3194709364844748,0.25625045950163494,0.10782027896599533,0.1237250380882099,0.2737439007579036
BAYC,DreamSim,PLS,False,False,"{""components"": 64}",1.3865970854197698,5120,1498,0.268561832807434,0.12450592804041352,0.29331499770472624,0.3194709364844748,0.25544681085467213,0.11026598108031546,0.12921273876559003,0.2737439007579036
BAYC,DreamSim,LinearSVR,False,False,"{""C"": 1, ""epsilon"": 0.2}",1.3862933483405797,5120,1498,0.2697861235660967,0.12429922335985671,0.2868571926526926,0.3194709364844748,0.25564715244065933,0.10989331639154074,0.12784632271167584,0.2737439007579036
BAYC,DreamSim,HistGradientBoosting,False,False,"{""l2_regularization"": 1, ""learning_rate"": 0.05, ""max_leaf_nodes"": 15}",1.3854834032235979,5120,1498,0.2835585164327068,0.12633452795564776,0.21218783753252246,0.3194709364844748,0.2589757513648826,0.10937345116690682,0.10498708854686079,0.2737439007579036
BAYC,DreamSim,XGBoost,False,False,"{""l2_regularization"": 10, ""learning_rate"": 0.1, ""max_leaf_nodes"": 15}",1.3851221722646299,5120,1498,0.27205472036733547,0.12569224503834125,0.2748133147323877,0.3194709364844748,0.2563512061843527,0.11088669640543784,0.12303587522747217,0.2737439007579036
BAYC,DreamSim,LightGBM,False,False,"{""l2_regularization"": 1, ""learning_rate"": 0.1, ""max_leaf_nodes"": 15}",1.3854691596898068,5120,1498,0.2790951716487654,0.12949214346265497,0.23679371725265663,0.3194709364844748,0.2592660492751244,0.11304311402318526,0.1029794411218814,0.2737439007579036
