collection,encoder,family,training_equal_token_n_transactions,training_equal_token_n_tokens,training_equal_token_rmse,training_equal_token_mae,training_equal_token_r2,training_equal_token_target_sd,training_transaction_rmse,training_transaction_mae,training_transaction_r2,training_transaction_target_sd
BAYC,SigLIP2,Ridge,35206,5746,0.8615612796076024,0.17100421198756888,0.03589694425032497,0.877454171372585,0.7695559020063595,0.11635497313648623,0.012896561001778495,0.7745667336219183
BAYC,SigLIP2,ElasticNet,35206,5746,0.8620246310975482,0.1721784642187833,0.03485966757241166,0.877454171372585,0.7697923619462017,0.11707930860421491,0.01228985711197117,0.7745667336219183
BAYC,SigLIP2,PLS,35206,5746,0.8615341321050067,0.17204761259789275,0.03595770041120849,0.877454171372585,0.769755738621683,0.11735706340965704,0.01238383665866516,0.7745667336219183
BAYC,SigLIP2,LinearSVR,35206,5746,0.861658815566391,0.17132633553212867,0.03567864279946242,0.877454171372585,0.7694341323340392,0.11686205122861608,0.013208922331769068,0.7745667336219183
BAYC,SigLIP2,HistGradientBoosting,35206,5746,0.8582477837718949,0.16019217677643421,0.04329841072998908,0.877454171372585,0.7671834290093618,0.10938371321594796,0.018973484976143262,0.7745667336219183
BAYC,SigLIP2,XGBoost,35206,5746,0.8486132898727717,0.1417663369671007,0.0646572768862278,0.877454171372585,0.7639440228551049,0.10312532312938462,0.027240696782549145,0.7745667336219183
BAYC,SigLIP2,LightGBM,35206,5746,0.8512987700829391,0.14691110017515285,0.0587280301192038,0.877454171372585,0.7646883959865095,0.10443800170742505,0.025344095356572116,0.7745667336219183
BAYC,SAM,OLS,35206,5746,0.8688946374395984,0.18311325468402911,0.01941476885701643,0.877454171372585,0.7719048208565965,0.12139664895386372,0.006861484290913822,0.7745667336219183
BAYC,SAM,Ridge,35206,5746,0.8689177482458642,0.183141820030557,0.019362605071649663,0.877454171372585,0.7719105145172206,0.12140234632367627,0.0068468332241946595,0.7745667336219183
BAYC,SAM,ElasticNet,35206,5746,0.8769315927796367,0.19213670445495823,0.0011907698337930706,0.877454171372585,0.7739324040648887,0.12402989502513813,0.0016372244977133077,0.7745667336219183
BAYC,SAM,PLS,35206,5746,0.8696809372495993,0.1843238027980253,0.017639219052784982,0.877454171372585,0.7721458404987481,0.1218710544206337,0.006241192117552918,0.7745667336219183
BAYC,SAM,LinearSVR,35206,5746,0.869426310437084,0.18410379263535465,0.0182143696997088,0.877454171372585,0.7720387258317631,0.12195190087582809,0.0065168881192760875,0.7745667336219183
BAYC,SAM,HistGradientBoosting,35206,5746,0.8505026406925873,0.14472277862333996,0.060487750444766175,0.877454171372585,0.7641401354363706,0.10329496519372967,0.026741197294139707,0.7745667336219183
BAYC,SAM,XGBoost,35206,5746,0.8465182528940982,0.1391517182720557,0.06926988132209966,0.877454171372585,0.76299876628179,0.10189830236040777,0.029646470576994433,0.7745667336219183
BAYC,SAM,LightGBM,35206,5746,0.8526890864900426,0.14824544048130545,0.0556510034704536,0.877454171372585,0.7647323529337684,0.10410624599574551,0.02523203891685044,0.7745667336219183
BAYC,SDXL_VAE,OLS,35206,5746,0.8631812762149335,0.16628226018997355,0.032267923108293184,0.877454171372585,0.7693592655277905,0.11389984017621478,0.013400944752179345,0.7745667336219183
BAYC,SDXL_VAE,Ridge,35206,5746,0.8587284079458308,0.16571216318580506,0.04222659284921271,0.877454171372585,0.7683520001910539,0.11383692268890797,0.01598261638771148,0.7745667336219183
