collection,encoder,family,encoder_learner_selected_pre2025,selected_config,pre2025_validation_transaction_rmse,evaluation_equal_token_n_transactions,evaluation_equal_token_n_tokens,evaluation_equal_token_rmse,evaluation_equal_token_mae,evaluation_equal_token_r2,evaluation_equal_token_target_sd,evaluation_transaction_rmse,evaluation_transaction_mae,evaluation_transaction_r2,evaluation_transaction_target_sd
MAYC,CLIP,HistGradientBoosting,True,"{""l2_regularization"": 1, ""learning_rate"": 0.1, ""max_leaf_nodes"": 15}",0.4034180249959489,13019,2492,0.21348383020735376,0.11745386488704149,0.23155701005286677,0.24353375185129997,0.17136047405492869,0.09439646428171021,0.19639434515713983,0.19115654080030414
MAYC,CLIP,XGBoost,False,"{""l2_regularization"": 1, ""learning_rate"": 0.05, ""max_leaf_nodes"": 31}",0.4037470695630149,13019,2492,0.2154306644592001,0.11794148623288823,0.2174776996955654,0.24353375185129997,0.17257090880462242,0.09509180388662183,0.18500142999784963,0.19115654080030414
MAYC,CLIP,LightGBM,False,"{""l2_regularization"": 10, ""learning_rate"": 0.1, ""max_leaf_nodes"": 15}",0.4036186705521155,13019,2492,0.21399623151514907,0.11708492033504111,0.22786376798335495,0.24353375185129997,0.1718381980187745,0.09436742495523788,0.1919074667526075,0.19115654080030414
MAYC,SigLIP2,OLS,False,{},0.4037297299639757,13019,2492,0.2135952235581342,0.11606513615190882,0.23075487181278564,0.24353375185129997,0.17040056733396927,0.09302437140645514,0.20537221409503026,0.19115654080030414
MAYC,SigLIP2,Ridge,False,"{""alpha"": 0.01}",0.40372996459878496,13019,2492,0.21359493257941467,0.11606102257107226,0.23075696768184317,0.24353375185129997,0.170399342826938,0.09302143034561977,0.20538363452431863,0.19115654080030414
MAYC,SigLIP2,ElasticNet,False,"{""alpha"": 0.001, ""l1_ratio"": 0.5}",0.40433998086796846,13019,2492,0.21784849222563754,0.11711228808970275,0.1998142779298503,0.24353375185129997,0.1721168196903287,0.09321398733521352,0.18928482955213766,0.19115654080030414
MAYC,SigLIP2,PLS,False,"{""components"": 64}",0.4039209998313959,13019,2492,0.21566145720963467,0.11655072127224461,0.2158001556574498,0.24353375185129997,0.17126113061011716,0.09310260701806933,0.1973258296611904,0.19115654080030414
MAYC,SigLIP2,LinearSVR,False,"{""C"": 1, ""epsilon"": 0.1}",0.40387144498069244,13019,2492,0.21408322277411407,0.1162040343242462,0.22723588070850753,0.24353375185129997,0.170639158648972,0.09308308837529639,0.20314541377122852,0.19115654080030414
MAYC,SigLIP2,HistGradientBoosting,False,"{""l2_regularization"": 1, ""learning_rate"": 0.1, ""max_leaf_nodes"": 15}",0.40371544109451346,13019,2492,0.2155450424023823,0.11728556494740609,0.2166465547767863,0.24353375185129997,0.17167970650127318,0.0940585313569728,0.19339743521448527,0.19115654080030414
MAYC,SigLIP2,XGBoost,True,"{""l2_regularization"": 10, ""learning_rate"": 0.1, ""max_leaf_nodes"": 15}",0.4036247853830565,13019,2492,0.21541324844049822,0.11718583313310574,0.21760421717320466,0.24353375185129997,0.17189104014167877,0.09424752560387652,0.19141039577520902,0.19115654080030414
MAYC,SigLIP2,LightGBM,False,"{""l2_regularization"": 10, ""learning_rate"": 0.1, ""max_leaf_nodes"": 15}",0.40370575640630696,13019,2492,0.21529920217869156,0.1171948008418961,0.2184324456557819,0.24353375185129997,0.17145669674136044,0.09385774888901832,0.19549160716880742,0.19115654080030414
MAYC,SAM,OLS,True,{},0.4041853378631517,13019,2492,0.21831455199589017,0.11776553965112149,0.1963868197607206,0.24353375185129997,0.1729331034862159,0.09381007798582365,0.18157677490975233,0.19115654080030414
MAYC,SAM,Ridge,False,"{""alpha"": 0.01}",0.40418714566610053,13019,2492,0.21833187137642304,0.11776869674497156,0.19625930984973383,0.24353375185129997,0.17293701388717944,0.09380642683420068,0.18153976176319908,0.19115654080030414
MAYC,SAM,ElasticNet,False,"{""alpha"": 0.01, ""l1_ratio"": 0.5}",0.40715017828543465,13019,2492,0.23484618577145383,0.1286417479805666,0.07007333055479281,0.24353375185129997,0.1819934320935378,0.09916112489693324,0.093572434235063,0.19115654080030414
MAYC,SAM,PLS,False,"{""components"": 64}",0.4043717449986021,13019,2492,0.22005024629077977,0.11835300077096478,0.1835578852252554,0.24353375185129997,0.17357894545446956,0.093826903910455,0.17545233641104285,0.19115654080030414
MAYC,SAM,LinearSVR,False,"{""C"": 1, ""epsilon"": 0.1}",0.40437570858118155,13019,2492,0.21943004517616022,0.11828569646841378,0.18815360592784158,0.24353375185129997,0.17339235500556016,0.0939344999439187,0.17722409537089834,0.19115654080030414
MAYC,SAM,HistGradientBoosting,False,"{""l2_regularization"": 1, ""learning_rate"": 0.1, ""max_leaf_nodes"": 31}",0.40449657901243435,13019,2492,0.21737812273157966,0.12081387876931829,0.20326600361419334,0.24353375185129997,0.17384952850358176,0.09681307610084579,0.17287964516108034,0.19115654080030414
MAYC,SAM,XGBoost,False,"{""l2_regularization"": 10, ""learning_rate"": 0.1, ""max_leaf_nodes"": 31}",0.40430267415884524,13019,2492,0.21837084606546256,0.12091097059973158,0.19597233077288134,0.24353375185129997,0.17413186025962574,0.09678470811094346,0.17019097566077435,0.19115654080030414
