collection,encoding,family,development_selected,selected_config,pre2025_validation_transaction_rmse,evaluation_equal_token_n_transactions,evaluation_equal_token_n_tokens,evaluation_equal_token_rmse,evaluation_equal_token_mae,evaluation_equal_token_r2,evaluation_equal_token_target_sd,evaluation_transaction_rmse,evaluation_transaction_mae,evaluation_transaction_r2,evaluation_transaction_target_sd,known_equal_token_n_transactions,known_equal_token_n_tokens,known_equal_token_rmse,known_equal_token_mae,known_equal_token_r2,known_equal_token_target_sd,unseen_equal_token_n_transactions,unseen_equal_token_n_tokens,unseen_equal_token_rmse,unseen_equal_token_mae,unseen_equal_token_r2,unseen_equal_token_target_sd
BAYC,TF-IDF,HistGradientBoosting,False,"{""l2_regularization"": 10, ""learning_rate"": 0.05, ""max_leaf_nodes"": 15}",1.3860396460015814,5120,1498,0.2763075261990102,0.12395604189054543,0.251963620537505,0.3194709364844748,0.25533662735018653,0.10724328438845734,0.12996378121703567,0.2737439007579036,3538,1012,0.3025632501052907,0.12323809738619859,0.23047924818515642,0.3449101767701867,1582,486,0.21141803855673771,0.1254510209819014,0.32324698974507915,0.25699634166343244
BAYC,TF-IDF,XGBoost,False,"{""l2_regularization"": 1, ""learning_rate"": 0.05, ""max_leaf_nodes"": 31}",1.3859760161785029,5120,1498,0.2701898140144306,0.12255386423282784,0.2847213946733179,0.3194709364844748,0.2537548435497072,0.10749385619016723,0.1407099595045166,0.2737439007579036,3538,1012,0.29693595536898015,0.12214108423487952,0.25883729120292054,0.3449101767701867,1582,486,0.20351229320790087,0.1234133978911071,0.37291355444761776,0.25699634166343244
BAYC,TF-IDF,LightGBM,False,"{""l2_regularization"": 10, ""learning_rate"": 0.1, ""max_leaf_nodes"": 15}",1.3859202591665674,5120,1498,0.2698305907462167,0.12231019961167411,0.28662208743195305,0.3194709364844748,0.25353101778420567,0.10719528822661006,0.14222517336232976,0.2737439007579036,3538,1012,0.2966416908139439,0.12212358908390376,0.26030555291309443,0.3449101767701867,1582,486,0.20293604283777508,0.12269877955838934,0.3764597500334531,0.25699634166343244
MAYC,one-hot,OLS,False,{},0.40209857208679783,13019,2492,0.20052150172760733,0.10881357349415073,0.3220407698453176,0.24353375185129997,0.1650132521590545,0.08940148781383388,0.2548232063494684,0.19115654080030414,10919,2028,0.19465717360377424,0.10644903049029865,0.32905276154133145,0.23764365776046537,2100,464,0.22436078049787192,0.11914825714029736,0.2830007905332328,0.26496444677667597
MAYC,one-hot,Ridge,False,"{""alpha"": 0.01}",0.4020985722125159,13019,2492,0.2005215022662143,0.10881357460005872,0.3220407662032786,0.24353375185129997,0.16501325185714877,0.08940148812175071,0.2548232090761967,0.19115654080030414,10919,2028,0.19465717337375968,0.10644903122888175,0.32905276312696674,0.23764365776046537,2100,464,0.22436078395542777,0.11914825985166858,0.2830007684343183,0.26496444677667597
MAYC,one-hot,ElasticNet,False,"{""alpha"": 0.001, ""l1_ratio"": 0.1}",0.40210197587354646,13019,2492,0.20052356630142568,0.1088449180566925,0.3220268092069811,0.24353375185129997,0.16500579505849247,0.08940423021993725,0.25489055527634874,0.19115654080030414,10919,2028,0.19461551754412226,0.10646299625755225,0.32933989226626237,0.23764365776046537,2100,464,0.2245285725606615,0.11925555902362428,0.2819279491671769,0.26496444677667597
MAYC,one-hot,PLS,False,"{""components"": 8}",0.40209646916673397,13019,2492,0.20053381733820494,0.10881354433346996,0.3219574896163989,0.24353375185129997,0.16501440882539894,0.08940344788901088,0.2548127596256151,0.19115654080030414,10919,2028,0.194675623147098,0.10645109720568684,0.32892557119393384,0.23764365776046537,2100,464,0.22434993255924998,0.11913906755576353,0.2830701232870688,0.26496444677667597
MAYC,one-hot,LinearSVR,False,"{""C"": 1, ""epsilon"": 0.1}",0.4022315984788388,13019,2492,0.2009671168222331,0.10927117331647278,0.31902419008437055,0.24353375185129997,0.1652912723559609,0.08966191027399184,0.2523100903006945,0.19115654080030414,10919,2028,0.19501861305742876,0.10683907553294314,0.3265588185529439,0.23764365776046537,2100,464,0.22512894155579027,0.1199011179393135,0.2780826963093276,0.26496444677667597
MAYC,one-hot,HistGradientBoosting,True,"{""l2_regularization"": 1, ""learning_rate"": 0.05, ""max_leaf_nodes"": 31}",0.4019487115450753,13019,2492,0.20227712217214505,0.10987364682740708,0.31011736503685006,0.24353375185129997,0.16584602734786175,0.08963348808799233,0.24728283435850906,0.19115654080030414,10919,2028,0.1956086511068355,0.10683918680756019,0.3224775975409523,0.23764365776046537,2100,464,0.2291565846500258,0.12313632984518626,0.2520208804642964,0.26496444677667597
MAYC,one-hot,XGBoost,False,"{""l2_regularization"": 1, ""learning_rate"": 0.05, ""max_leaf_nodes"": 31}",0.40194871255497805,13019,2492,0.20227711635674195,0.1098736420801339,0.3101174047046634,0.24353375185129997,0.16584602731638998,0.08963348606268061,0.24728283464418777,0.19115654080030414,10919,2028,0.1956086453091958,0.10683918187104183,0.32247763770308924,0.23764365776046537,2100,464,0.22915657871083622,0.12313632592504507,0.25202091923594916,0.26496444677667597
MAYC,one-hot,LightGBM,False,"{""l2_regularization"": 1, ""learning_rate"": 0.1, ""max_leaf_nodes"": 15}",0.40195557890399725,13019,2492,0.20171800141491308,0.10986582282471899,0.3139259479937113,0.24353375185129997,0.1655251874524599,0.08977873068846218,0.2501923776282846,0.19115654080030414,10919,2028,0.19506380750458094,0.10687688133188855,0.32624665010841225,0.23764365776046537,2100,464,0.22853866784038201,0.12292955848734859,0.25604926768901426,0.26496444677667597
MAYC,TF-IDF,OLS,False,{},0.4020113293666193,13019,2492,0.19970436478048925,0.10845335835339524,0.3275549592860407,0.24353375185129997,0.16470718808772583,0.08923618922307076,0.25758492794757304,0.19115654080030414,10919,2028,0.19389135510302588,0.10606969483993664,0.3343216458905943,0.23764365776046537,2100,464,0.22334248400394893,0.11887161181308059,0.2894944468902517,0.26496444677667597
